iter	Passed	Remaining
0	13	13197
1	27	13600
2	41	13931
3	56	14180
4	71	14273
5	84	14065
6	97	13862
7	108	13447
8	120	13221
9	132	13077
10	143	12880
11	154	12712
12	165	12561
13	176	12417
14	186	12226
15	197	12148
16	208	12077
17	220	12046
18	231	11959
19	242	11883
20	252	11770
21	263	11724
22	274	11674
23	286	11636
24	297	11601
25	309	11581
26	321	11585
27	332	11557
28	345	11551
29	356	11514
30	367	11480
31	378	11440
32	389	11409
33	400	11386
34	411	11344
35	422	11321
36	434	11309
37	445	11274
38	456	11249
39	466	11204
40	477	11175
41	488	11146
42	500	11145
43	514	11168
44	525	11155
45	536	11121
46	547	11100
47	559	11087
48	571	11095
49	586	11144
50	604	11240
51	618	11278
52	632	11298
53	647	11335
54	660	11352
55	674	11375
56	688	11385
57	700	11373
58	712	11366
59	725	11360
60	741	11411
61	753	11399
62	763	11360
63	775	11347
64	788	11348
65	802	11352
66	814	11338
67	827	11335
68	840	11345
69	853	11335
70	866	11331
71	877	11304
72	888	11284
73	902	11297
74	915	11294
75	927	11279
76	938	11250
77	951	11241
78	963	11228
79	975	11218
80	987	11208
81	1000	11203
82	1012	11181
83	1023	11158
84	1034	11137
85	1046	11116
86	1058	11107
87	1069	11082
88	1081	11067
89	1092	11044
90	1104	11032
91	1116	11022
92	1130	11025
93	1143	11019
94	1154	11002
95	1167	10990
96	1180	10986
97	1191	10969
98	1204	10959
99	1216	10949
100	1227	10930
101	1238	10907
102	1250	10887
103	1262	10875
104	1274	10861
105	1287	10860
106	1299	10847
107	1311	10828
108	1325	10831
109	1339	10836
110	1352	10831
111	1364	10821
112	1377	10810
113	1389	10795
114	1400	10781
115	1414	10777
116	1425	10759
117	1438	10750
118	1452	10749
119	1463	10735
120	1475	10717
121	1488	10714
122	1501	10703
123	1513	10690
124	1525	10676
125	1537	10664
126	1549	10648
127	1560	10634
128	1574	10632
129	1587	10621
130	1598	10605
131	1609	10581
132	1620	10561
133	1632	10550
134	1644	10536
135	1656	10526
136	1667	10506
137	1679	10493
138	1692	10480
139	1703	10466
140	1713	10440
141	1726	10434
142	1738	10418
143	1751	10409
144	1762	10389
145	1773	10371
146	1839	10672
147	1876	10802
148	1904	10879
149	1916	10862
150	1929	10846
151	1942	10836
152	1953	10812
153	1966	10805
154	1979	10790
155	1991	10772
156	2002	10750
157	2014	10735
158	2026	10720
159	2039	10706
160	2051	10691
161	2063	10673
162	2077	10666
163	2089	10648
164	2101	10636
165	2113	10619
166	2125	10603
167	2138	10593
168	2150	10575
169	2161	10555
170	2172	10532
171	2183	10511
172	2193	10486
173	2204	10465
174	2215	10446
175	2226	10425
176	2238	10410
177	2250	10392
178	2261	10374
179	2273	10355
180	2284	10338
181	2297	10326
182	2309	10309
183	2320	10291
184	2331	10271
185	2344	10258
186	2356	10245
187	2368	10231
188	2381	10220
189	2395	10212
190	2406	10191
191	2418	10177
192	2429	10159
193	2440	10140
194	2451	10118
195	2462	10102
196	2473	10081
197	2484	10062
198	2495	10043
199	2505	10022
200	2515	9999
201	2526	9981
202	2539	9971
203	2553	9961
204	2564	9944
205	2576	9930
206	2588	9915
207	2599	9897
208	2609	9875
209	2620	9858
210	2631	9840
211	2642	9821
212	2652	9801
213	2664	9785
214	2676	9770
215	2687	9756
216	2699	9740
217	2711	9725
218	2722	9708
219	2733	9690
220	2744	9674
221	2755	9655
222	2766	9638
223	2776	9619
224	2787	9602
225	2799	9586
226	2810	9570
227	2821	9554
228	2833	9538
229	2843	9520
230	2854	9503
231	2865	9487
232	2877	9470
233	2888	9454
234	2899	9437
235	2910	9421
236	2921	9405
237	2932	9388
238	2943	9372
239	2954	9356
240	2965	9340
241	2977	9326
242	2988	9311
243	2999	9294
244	3011	9278
245	3021	9261
246	3032	9246
247	3043	9228
248	3054	9211
249	3065	9196
250	3077	9182
251	3088	9166
252	3098	9148
253	3109	9132
254	3120	9115
255	3131	9101
256	3143	9089
257	3155	9075
258	3167	9062
259	3179	9050
260	3190	9034
261	3201	9019
262	3213	9004
263	3223	8987
264	3234	8971
265	3246	8958
266	3259	8947
267	3271	8935
268	3283	8923
269	3297	8914
270	3308	8900
271	3318	8883
272	3330	8869
273	3341	8854
274	3354	8842
275	3368	8835
276	3381	8827
277	3395	8819
278	3408	8807
279	3420	8795
280	3433	8784
281	3445	8772
282	3457	8759
283	3470	8749
284	3483	8740
285	3495	8727
286	3507	8713
287	3520	8702
288	3532	8690
289	3543	8676
290	3558	8670
291	3572	8662
292	3585	8650
293	3596	8636
294	3608	8623
295	3618	8607
296	3629	8591
297	3640	8575
298	3651	8560
299	3661	8542
300	3672	8528
301	3683	8513
302	3694	8498
303	3706	8486
304	3717	8472
305	3728	8456
306	3738	8438
307	3749	8423
308	3760	8408
309	3770	8392
310	3780	8374
311	3790	8359
312	3802	8344
313	3812	8329
314	3823	8314
315	3834	8300
316	3845	8285
317	3857	8273
318	3869	8260
319	3936	8364
320	3965	8387
321	3985	8392
322	3999	8382
323	4009	8366
324	4020	8351
325	4031	8335
326	4043	8322
327	4055	8309
328	4067	8296
329	4079	8281
330	4090	8267
331	4101	8252
332	4112	8237
333	4123	8223
334	4136	8210
335	4147	8195
336	4159	8183
337	4170	8168
338	4182	8154
339	4194	8141
340	4205	8128
